"Site","CoreName","avg_PercentC","avg_PercentN","avg_CtoN"
"IMS","LO",0.573746666666667,0.05471,10.7914939053333
"IMS","HO",0.270563333333333,0.02972,11.0035441233333
"IMS","MM",0.390186666666667,0.03636,12.4212191876667
"Carrot","LO",0.17291,0.01682,12.2785726833333
"Carrot","HO",0.514823333333333,0.0564833333333333,10.5776083066667
"Carrot","MM",1.41495666666667,0.107853333333333,13.6377826433333
"NOAA","LO",1.00478,0.0608833333333333,19.53930937
"NOAA","HO",1.72323,0.14883,13.42622264
"NOAA","MM",2.72648666666667,0.276713333333333,11.4997013466667
"Army","LO",2.00001333333333,0.155173333333333,15.0974658266667
"Army","HO",1.21602333333333,0.0948533333333333,15.0354682666667
"Army","MM",2.33298666666667,0.222136666666667,12.1788989833333
