"Season","Site","CoreName","avg_PercentOM"
"Summer","IMS","LO",0.870141049629508
"Summer","IMS","HO",0.831564975148
"Summer","IMS","MM",0.614447264775649
"Summer","IMS","Ref",0.593776085294942
"Summer","Carrot","LO",0.958071248588448
"Summer","Carrot","HO",1.39469353964764
"Summer","Carrot","LM",1.1838604188303
"Summer","Carrot","MM",0.518395231431278
"Summer","Carrot","HM",0.53069884751063
"Summer","Carrot","Ref",0.361962113012111
"Summer","NOAA","LO",4.24015745696395
"Summer","NOAA","HO",1.63067265300652
"Summer","NOAA","LM",3.06504989787586
"Summer","NOAA","MM",2.87905980937108
"Summer","NOAA","HM",1.88970069592976
"Summer","NOAA","Ref",0.692731181757194
"Summer","Army","LO",3.20715584988742
"Summer","Army","HO",2.8093415449832
"Summer","Army","LM",5.43721226365105
"Summer","Army","MM",3.67585229518332
"Summer","Army","HM",3.9036951466272
"Summer","Army","Ref",2.92567457567492
"Fall","IMS","LO",0.867636631135703
"Fall","IMS","HO",1.49293538943726
"Fall","IMS","MM",0.774624203606496
"Fall","IMS","Ref",1.44878551051895
"Fall","IMS","LoRef",1.16777989118414
"Fall","IMS","HiRef",0.225387234450681
"Fall","Carrot","LO",1.14939069117535
"Fall","Carrot","HO",0.860713951461495
"Fall","Carrot","LM",0.632560104631478
"Fall","Carrot","MM",0.485858403539228
"Fall","Carrot","HM",0.494657075900601
"Fall","Carrot","Ref",0.810102414579789
"Fall","Carrot","LoRef",0.614176399516713
"Fall","Carrot","HiRef",0.243445692883893
"Fall","NOAA","LO",1.97993708977044
"Fall","NOAA","HO",2.91360813686413
"Fall","NOAA","LM",3.86280748831147
"Fall","NOAA","MM",4.25030736115288
"Fall","NOAA","HM",1.9439352367355
"Fall","NOAA","Ref",1.43697601525821
"Fall","NOAA","LoRef",0.641453276543337
"Fall","NOAA","HiRef",0.355926957598262
"Fall","Army","LO",2.10531650004536
"Fall","Army","HO",2.58617488599911
"Fall","Army","LM",3.48930600704245
"Fall","Army","MM",2.71892842352698
"Fall","Army","HM",5.75556750574858
"Fall","Army","Ref",2.82686280689982
"Fall","Army","LoRef",4.56872182748874
"Fall","Army","HiRef",2.25397464278527
"Winter","IMS","LO",0.955757040736947
"Winter","IMS","HO",4.38559685208834
"Winter","IMS","MM",1.70908003663365
"Winter","IMS","Ref",2.02421701884529
"Winter","IMS","LoRef",0.827881665026346
"Winter","IMS","HiRef",1.14303131905813
"Winter","Carrot","LO",0.780092558049256
"Winter","Carrot","HO",2.67643720967334
"Winter","Carrot","LM",0.854672455713727
"Winter","Carrot","MM",0.820742226237644
"Winter","Carrot","HM",0.547485060673999
"Winter","Carrot","Ref",0.911827182152495
"Winter","Carrot","LoRef",0.490603064382227
"Winter","Carrot","HiRef",0.460521136739342
"Winter","NOAA","LO",6.31413743192128
"Winter","NOAA","HO",7.94280864692396
"Winter","NOAA","LM",6.52535003131957
"Winter","NOAA","MM",3.95599835288361
"Winter","NOAA","HM",0.626583979757531
"Winter","NOAA","Ref",1.97221000128707
"Winter","NOAA","LoRef",6.90250215703193
"Winter","NOAA","HiRef",1.17794486215539
"Winter","Army","LO",4.56179315739491
"Winter","Army","HO",2.76224742900188
"Winter","Army","LM",3.86449746371137
"Winter","Army","MM",4.21164628358306
"Winter","Army","HM",6.75339444938301
"Winter","Army","Ref",3.91059930898116
"Winter","Army","LoRef",7.71324863883847
"Winter","Army","HiRef",1.525
"Spring","IMS","LO",0.813116870428194
"Spring","IMS","HO",2.56457555030888
"Spring","IMS","MM",0.953004696662156
"Spring","IMS","Ref",0.561910166049318
"Spring","IMS","LoRef",0.763392366076342
"Spring","IMS","HiRef",1.35077992858484
"Spring","Carrot","LO",0.680090223318645
"Spring","Carrot","HO",0.845259770175501
"Spring","Carrot","LM",1.03232448855915
"Spring","Carrot","MM",1.95279461632824
"Spring","Carrot","HM",0.305722036315315
"Spring","Carrot","Ref",0.931034579934848
"Spring","Carrot","LoRef",0.616218046385639
"Spring","Carrot","HiRef",0.389330416036559
"Spring","NOAA","LO",1.77984519194565
"Spring","NOAA","HO",6.95870525913592
"Spring","NOAA","LM",5.54657190815686
"Spring","NOAA","MM",4.89765907315047
"Spring","NOAA","HM",0.677846578630222
"Spring","NOAA","Ref",1.3020242819546
"Spring","NOAA","LoRef",1.118930330753
"Spring","NOAA","HiRef",0.734909851058275
"Spring","Army","LO",2.05185807523709
"Spring","Army","HO",4.5610253709654
"Spring","Army","LM",5.41566622239973
"Spring","Army","MM",2.96426172604381
"Spring","Army","HM",4.77187829342356
"Spring","Army","Ref",2.29593077721238
"Spring","Army","LoRef",3.23332362365278
"Spring","Army","HiRef",3.81290952181793
"Summer15","IMS","LO",2.29197367014519
"Summer15","IMS","HO",1.24362830200458
"Summer15","IMS","MM",1.28530860930739
"Summer15","Carrot","LO",0.92744566756648
"Summer15","Carrot","HO",2.15126279445487
"Summer15","Carrot","MM",1.23988690485104
"Summer15","NOAA","LO",2.93758072579777
"Summer15","NOAA","HO",5.29195343960204
"Summer15","NOAA","MM",7.34495653254981
"Summer15","Army","LO",5.58979342084507
"Summer15","Army","HO",3.4855538987727
"Summer15","Army","MM",6.83208886083583
