"Site","CoreName","annual_N2Flux"
"IMS","LO",14.7622259685467
"IMS","HO",21.1900731516978
"IMS","MM",35.5589531730667
"IMS","Ref",25.0407132419444
"IMS","LoRef",25.3443387488889
"IMS","HiRef",41.0777127766667
"Carrot","LO",21.5740623055022
"Carrot","HO",34.0298460022778
"Carrot","LM",11.0777997950444
"Carrot","MM",14.8240690280122
"Carrot","HM",21.3649733137708
"Carrot","Ref",12.0291313676
"Carrot","LoRef",2.62107971285556
"Carrot","HiRef",23.5334866966667
"NOAA","LO",47.14616069652
"NOAA","HO",44.9170612646467
"NOAA","LM",71.940085200025
"NOAA","MM",46.3166403372956
"NOAA","HM",53.8836964490778
"NOAA","Ref",59.8668117889167
"NOAA","LoRef",51.8111678363667
"NOAA","HiRef",25.2443654778667
"Army","LO",28.7445124474022
"Army","HO",24.3228192725089
"Army","LM",28.5893197020889
"Army","MM",24.7842220005156
"Army","HM",30.4323114157417
"Army","Ref",22.2488084193278
"Army","LoRef",21.4176922965556
"Army","HiRef",-4.81659847848889
