"Site","CoreName","annual_N2OFlux"
"IMS","LO",-0.09800120925
"IMS","HO",-0.0346686215
"IMS","MM",-0.125167696
"IMS","Ref",-0.129306121583333
"Carrot","LO",0.0144668594166667
"Carrot","HO",0.0135328207083333
"Carrot","LM",-0.0780332895
"Carrot","MM",0.0153457691666667
"Carrot","HM",-0.0114364935
"Carrot","Ref",-0.0222448275833333
"NOAA","LO",-0.0571525125833333
"NOAA","HO",-0.08672298375
"NOAA","LM",-0.0241743381666667
"NOAA","MM",-0.0296819150833333
"NOAA","HM",-0.0733072371666667
"NOAA","Ref",-0.0543123634166667
"Army","LO",-0.0269340809166667
"Army","HO",0.000217422916666666
"Army","LM",0.038825293
"Army","MM",0.0803416463333333
"Army","HM",-0.0512720926666667
"Army","Ref",0.00420597008333334
