"Site","CoreName","annual_O2conc"
"IMS","LO",5.02158666077333
"IMS","HO",5.25017397533778
"IMS","MM",4.44026022326667
"IMS","Ref",5.41715990833333
"IMS","LoRef",6.45060482693333
"IMS","HiRef",5.74163174926667
"Carrot","LO",6.07529732169444
"Carrot","HO",5.53942406309778
"Carrot","LM",6.78187194197778
"Carrot","MM",5.88712765618
"Carrot","HM",6.07814516272361
"Carrot","Ref",6.24275153882361
"Carrot","LoRef",7.4724283465
"Carrot","HiRef",7.46659088261667
"NOAA","LO",4.59408654793778
"NOAA","HO",4.47455353691
"NOAA","LM",3.90755642905972
"NOAA","MM",3.69268747848222
"NOAA","HM",4.94073119697361
"NOAA","Ref",4.90794756590417
"NOAA","LoRef",5.81835751421667
"NOAA","HiRef",6.87975960038333
"Army","LO",5.52024310914444
"Army","HO",6.11269433088
"Army","LM",5.70953535510139
"Army","MM",5.37274056756889
"Army","HM",5.40310714495417
"Army","Ref",6.55898838960833
"Army","LoRef",6.73764657686667
"Army","HiRef",7.32799449408889
