"Site","CoreName","avg_BD"
"IMS","LO",1.35145555555556
"IMS","HO",1.27644444444444
"IMS","MM",1.41513333333333
"IMS","Ref",1.513
"IMS","LoRef",1.4722
"IMS","HiRef",1.3759
"Carrot","LO",1.45356666666667
"Carrot","HO",1.39525555555556
"Carrot","LM",1.30635
"Carrot","MM",1.21153333333333
"Carrot","HM",1.50563333333333
"Carrot","Ref",1.32026666666667
"Carrot","LoRef",1.4114
"Carrot","HiRef",1.48885
"NOAA","LO",1.24342222222222
"NOAA","HO",0.56295
"NOAA","LM",0.614183333333333
"NOAA","MM",0.679616666666667
"NOAA","HM",1.43983888888889
"NOAA","Ref",1.53479444444444
"NOAA","LoRef",1.3558
"NOAA","HiRef",1.4654
"Army","LO",1.10544444444444
"Army","HO",0.730183333333333
"Army","LM",0.610911111111111
"Army","MM",0.974783333333333
"Army","HM",0.6754
"Army","Ref",1.08822777777778
"Army","LoRef",0.7925
"Army","HiRef",0.912766666666667
